iso3c,short_name,country_group,year,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp,empl_agri,empl_ind,empl_svc,rel_prod_agri,rel_prod_ind,rel_prod_svc,prod_gap_ratio
IDN,Indonesia,ASEAN,1997,16.0921102228181,44.3289567972257,39.5789011173884,42.6095983129829,19.0428992312579,38.3475024557593,0.3776639738449477,2.327847049910451,1.0321115739688587,3.871308767329401
IDN,Indonesia,ASEAN,1998,18.0828529531935,45.2277705496239,36.686823537659,45.061151322047,16.5668829068041,38.3719657711489,0.40129584847837935,2.7300108779696046,0.9560840264598348,3.715498264265711
IDN,Indonesia,ASEAN,1999,19.612676402133,43.3600616732301,37.0272710177647,45.2595697154355,16.4019992523949,38.3384386266954,0.43333766815384056,2.643583931812396,0.9658001823783787,3.388854396566402
IDN,Indonesia,ASEAN,2000,15.6787044387708,41.9690746433564,33.3686365074031,45.3480777562457,16.2989241868533,38.352998056901,0.3457413238780866,2.574959804844582,0.8700398455916528,3.987086789140208
IDN,Indonesia,ASEAN,2001,15.9949177621389,47.8935007853871,38.4172452290621,43.8339408350719,17.5538297555191,38.6122387718338,0.3648980095657115,2.7283790177085945,0.9949499550149383,4.211330740865141
IDN,Indonesia,ASEAN,2002,16.3196689664379,47.7453311592597,40.104784004948,44.4511073028184,17.5223213154833,38.0265807831709,0.3671375125767262,2.7248291079487483,1.0546513301742035,4.307627038144121
IDN,Indonesia,ASEAN,2003,15.1853482186248,43.7495660917608,41.0650856896144,46.4767505563493,16.5392498739517,36.9839985386923,0.32672998944308285,2.645196512851751,1.1103473748694994,4.849974118626305
IDN,Indonesia,ASEAN,2004,14.3357802955642,44.6276159754602,41.0366037289756,43.4188155877323,16.7925260494466,39.7886583628212,0.3301743748996848,2.6575880152903446,1.0313643489753979,4.585472199441422
IDN,Indonesia,ASEAN,2005,13.1266186400506,46.5410588710711,40.3323224888783,44.1138547379172,17.5213112015065,38.3648350904152,0.29756226741092,2.656254337122296,1.051283614117623,5.2240184634089255
IDN,Indonesia,ASEAN,2006,12.9738027192484,46.9435587410796,40.0826385396719,42.1550386598117,17.3411380875498,40.5038242639647,0.3077639857941089,2.7070633140729714,0.989601334393811,4.888399222384188
IDN,Indonesia,ASEAN,2007,13.7166831034562,46.7991415207073,39.4841753758365,41.3676021746378,17.5231849976091,41.1092215565331,0.3315803281406,2.670698364885874,0.9604700327769075,4.4381334287829715
IDN,Indonesia,ASEAN,2008,14.4817402607761,48.0607447690172,37.457515026462,40.7045813010654,18.0848935155468,41.2105251833877,0.3557766668489735,2.657507755171545,0.908930785515964,4.053780719376093
IDN,Indonesia,ASEAN,2009,15.290148146172,47.6521225811621,37.0577298834625,40.0562763550069,17.9431694225611,42.0005634480942,0.38171666309319296,2.655724942397636,0.8823150653504868,3.7021074748333946
IDN,Indonesia,ASEAN,2010,13.929212707137,42.7758663362749,40.6659902908934,38.7302728008608,18.2976528811745,42.9720752142772,0.3596466458874882,2.3377788732829643,0.9463352674525335,3.7867095194962292
IDN,Indonesia,ASEAN,2011,13.5122870743946,43.9134234267133,40.5846042111279,36.8121228894469,19.5975611498535,43.5903168345826,0.3670607944826847,2.240759607327036,0.93104632308912,3.6431311062533074
IDN,Indonesia,ASEAN,2012,13.3739742350727,43.5937444233376,40.8733748934867,35.5604756448204,20.6570209800248,43.7825025272112,0.37609098282746684,2.1103596915301805,0.933555017054668,3.4853182621284313
IDN,Indonesia,ASEAN,2013,13.3566991621949,42.6356774375889,41.5165374799893,34.6902320718856,21.0672874224289,44.2424703975957,0.38502766814926326,2.0237858145988747,0.9383865120299762,3.346536289653333
IDN,Indonesia,ASEAN,2014,13.3367549992146,41.9283421270033,42.2421853142869,34.0046946767182,21.4982822389039,44.497023084378,0.39220334503828974,1.9503112695733702,0.9493260983815629,3.251888998825864
IDN,Indonesia,ASEAN,2015,13.4926435578886,40.0478624042506,43.3090809246806,32.7770295687741,22.1218830739339,45.1010964067699,0.4116493695555233,1.810327912429787,0.9602666980437241,3.012288533864552
IDN,Indonesia,ASEAN,2016,13.4787485470271,39.3084439802081,43.6417488094502,31.5553329221477,21.8107246597619,46.6339424180905,0.42714645351013836,1.8022530013744724,0.9358365719583779,2.8372720476406497
IDN,Indonesia,ASEAN,2017,13.1566308462661,39.3791548040237,43.6140553296427,30.5222024429742,22.1220312359547,47.3557647336161,0.43105116253806186,1.7800876594017812,0.9209872456918157,2.771198973856342
IDN,Indonesia,ASEAN,2018,12.8084975586902,39.7297374523848,43.4048373057688,29.4464900769988,22.3847562001086,48.1687622744529,0.4349753578507191,1.7748568310157449,0.9010992862648096,2.7089335308728733
IDN,Indonesia,ASEAN,2019,12.7126026577522,38.9517679950779,44.220745839176,28.4631336137713,22.4012342408394,49.1356329001475,0.446633980300801,1.738822404886309,0.899973058839815,2.603143739850898
IDN,Indonesia,ASEAN,2020,13.6984142796138,38.2383937187942,44.4134399516292,29.3087481652973,21.6344047291476,49.0568463452771,0.46738312405417765,1.7674807417870098,0.9053464146275081,2.5015765558546255
IDN,Indonesia,ASEAN,2021,13.2801691376596,39.8448191919686,42.8228206251521,28.9871998196831,21.7614308372694,49.2513693430476,0.4581390827768747,1.8309834261324829,0.869474721136805,2.5409818238632917
IDN,Indonesia,ASEAN,2022,12.3996501634108,41.4292641760979,41.790925584711196,29.2848629874109,21.8679677163131,48.8471685544592,0.4234149966397731,1.8945182613010918,0.8555444833638396,2.779393792365165
IDN,Indonesia,ASEAN,2023,12.5294214769584,40.2156823106794,42.8793517397051,28.7792280576249,21.951549784263,49.2692149419358,0.4353633617924229,1.832020185632173,0.8703071845215878,2.679887478890504
IDN,Indonesia,ASEAN,2024,12.6086658797584,39.3184857249869,43.7719167888796,27.9600749776458,22.2861723546005,49.7537526677536,0.4509525060229303,1.764254762970567,0.8797711618092489,2.5576835245543728
LAO,Lao PDR,ASEAN,1991,43.9597849289897,16.5835417432796,42.5262017413489,90.1132266221802,1.8951172256508,7.99165615216898,0.48782833083206417,8.750668042492553,5.321325258695853,12.255681800097685
LAO,Lao PDR,ASEAN,1992,46.7255908925821,17.5334322119287,42.9236362098356,90.0521975456527,1.94737740338946,8.00042505095781,0.5188723003555152,9.00361284947197,5.365169467426831,11.7127654117611
LAO,Lao PDR,ASEAN,1993,43.4169170590763,17.4447947058982,41.1036244824444,89.8655567812738,2.01529838634233,8.11914483238391,0.4831318985175812,8.656184525389147,5.06255588870629,11.957752696265498
LAO,Lao PDR,ASEAN,1994,44.0851035404577,17.7559142977323,39.0641252752297,89.6084582615478,2.15938158544037,8.23222137732668,0.49197480233152524,8.222684873044924,4.745271474698282,11.114146750363094
LAO,Lao PDR,ASEAN,1995,42.2262355997899,18.7611862855343,40.8606940096723,89.3288364370524,2.28436832473281,8.38673547085325,0.4727055370249402,8.212855204831598,4.87206185907223,11.819677707689916
LAO,Lao PDR,ASEAN,1996,40.4982887775844,20.6120581991112,40.7308550781604,88.8524119934167,2.41540401611202,8.73218399047131,0.4557927901899279,8.533586125392643,4.6644522289734764,12.073023242073392
LAO,Lao PDR,ASEAN,1997,51.8527062375068,20.6251128747956,55.7018926222061,88.5463997194031,2.56940068039044,8.88419960020646,0.5855992609730506,8.027207680065478,6.269770505934114,11.379827572745969
LAO,Lao PDR,ASEAN,1998,33.9387656658138,22.2619621078948,43.5732043382803,87.9461247478613,2.62375048192704,9.4301247702116,0.38590404936107353,8.48478628636374,4.620639217406936,14.153110897187153
LAO,Lao PDR,ASEAN,1999,34.3119793661779,22.4698367237759,40.5263320223378,87.3746824632095,2.81687981779958,9.80843771899089,0.39269933118927797,7.9768531769766176,4.131782571639475,12.70608236536565
