iso3c,country,year,country_group,sector,pct_of_gdp
BRN,Brunei Darussalam,2002,ASEAN,Services,37.6540737570955
BRN,Brunei Darussalam,2002,ASEAN,Manufacturing,2.85753043785355
BRN,Brunei Darussalam,2003,ASEAN,Agriculture,1.2372583372265
BRN,Brunei Darussalam,2003,ASEAN,Industry,66.4844984729556
BRN,Brunei Darussalam,2003,ASEAN,Services,34.1679873818669
BRN,Brunei Darussalam,2003,ASEAN,Manufacturing,2.49651789485846
BRN,Brunei Darussalam,2004,ASEAN,Agriculture,1.17049480864283
BRN,Brunei Darussalam,2004,ASEAN,Industry,70.1910452305488
BRN,Brunei Darussalam,2004,ASEAN,Services,30.528204400637
BRN,Brunei Darussalam,2004,ASEAN,Manufacturing,2.11413731026859
BRN,Brunei Darussalam,2005,ASEAN,Agriculture,0.974611267785546
BRN,Brunei Darussalam,2005,ASEAN,Industry,73.153005169136
BRN,Brunei Darussalam,2005,ASEAN,Services,27.7621281199365
BRN,Brunei Darussalam,2005,ASEAN,Manufacturing,1.67224992845804
BRN,Brunei Darussalam,2006,ASEAN,Agriculture,0.754742504053329
BRN,Brunei Darussalam,2006,ASEAN,Industry,74.9262615378504
BRN,Brunei Darussalam,2006,ASEAN,Services,26.2087407606151
BRN,Brunei Darussalam,2006,ASEAN,Manufacturing,1.22691503528892
BRN,Brunei Darussalam,2007,ASEAN,Agriculture,0.726342513402553
BRN,Brunei Darussalam,2007,ASEAN,Industry,73.3951062711011
BRN,Brunei Darussalam,2007,ASEAN,Services,27.7682953911214
BRN,Brunei Darussalam,2007,ASEAN,Manufacturing,1.10446108253793
BRN,Brunei Darussalam,2008,ASEAN,Agriculture,0.69216612734937
BRN,Brunei Darussalam,2008,ASEAN,Industry,76.4320816379343
BRN,Brunei Darussalam,2008,ASEAN,Services,24.7654962427286
BRN,Brunei Darussalam,2008,ASEAN,Manufacturing,0.902506208937292
BRN,Brunei Darussalam,2009,ASEAN,Agriculture,0.979917546380161
BRN,Brunei Darussalam,2009,ASEAN,Industry,67.2954813573315
BRN,Brunei Darussalam,2009,ASEAN,Services,33.6143461570051
BRN,Brunei Darussalam,2009,ASEAN,Manufacturing,1.22236131773069
BRN,Brunei Darussalam,2010,ASEAN,Agriculture,0.733349877488411
BRN,Brunei Darussalam,2010,ASEAN,Industry,68.6533507031802
BRN,Brunei Darussalam,2010,ASEAN,Services,32.5030436816898
BRN,Brunei Darussalam,2010,ASEAN,Manufacturing,1.24945271568671
BRN,Brunei Darussalam,2011,ASEAN,Agriculture,0.572775314042004
BRN,Brunei Darussalam,2011,ASEAN,Industry,73.6724144504971
BRN,Brunei Darussalam,2011,ASEAN,Services,27.3573206532471
BRN,Brunei Darussalam,2011,ASEAN,Manufacturing,1.2207157101583
BRN,Brunei Darussalam,2012,ASEAN,Agriculture,0.655156683935105
BRN,Brunei Darussalam,2012,ASEAN,Industry,72.655614353873
BRN,Brunei Darussalam,2012,ASEAN,Services,28.2803646984425
BRN,Brunei Darussalam,2012,ASEAN,Manufacturing,1.45830406971237
BRN,Brunei Darussalam,2013,ASEAN,Agriculture,0.684937439812632
BRN,Brunei Darussalam,2013,ASEAN,Industry,70.022444095261
BRN,Brunei Darussalam,2013,ASEAN,Services,31.2458789469641
BRN,Brunei Darussalam,2013,ASEAN,Manufacturing,1.14519230625247
BRN,Brunei Darussalam,2014,ASEAN,Agriculture,0.862827317122997
BRN,Brunei Darussalam,2014,ASEAN,Industry,67.8496307805484
BRN,Brunei Darussalam,2014,ASEAN,Services,32.8360352519913
